id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,market_cap,circulating_supply,total_supply
bitcoin,BTC,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,59176.0,1164667992199,1,1238605171334,50207638806,62001.0,57968.0,-2824.368840080977,-4.55538,-58334903035.47681,-4.76981,19746428.0,21000000.0,21000000.0,73738.0,-19.91339,2024-03-14 07:10:36.635000+00:00,67.81,86989.05241,2013-07-06 00:00:00+00:00,2024-08-28 20:19:03.365000+00:00,0.0,N/A,0.0,1164667992199.0,19746428.0,21000000.0
ethereum,ETH,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2522.68,302595707847,2,302595707847,22731132712,2586.35,2409.42,-56.47718203024806,-2.18975,-7502771087.672241,-2.41948,120298712.596962,120298712.596962,,4878.26,-48.53757,2021-11-10 14:24:19.604000+00:00,0.432979,579713.89482,2015-10-20 00:00:00+00:00,2024-08-28 20:19:03.208000+00:00,56.03434084571412,btc,5603.434084571412,302595707847.0,120298712.6,120298712.6
tether,USDT,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,118188288819,3,118188288819,70122051653,1.004,0.981431,0.00065989,0.06597,123369785.0,0.10449,118039332678.207,118039332678.207,,1.32,-24.55192,2018-07-24 00:00:00+00:00,0.572521,74.36041,2015-03-02 00:00:00+00:00,2024-08-28 20:19:08.948000+00:00,0.0,N/A,0.0,118188288819.0,118039332678.21,118039332678.21
binancecoin,BNB,Bnb,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,536.55,78058305473,4,78058305473,935494537,550.91,521.34,-13.277608381128971,-2.41488,-2077467701.3610992,-2.59243,145887575.79,145887575.79,200000000.0,717.48,-25.45965,2024-06-06 14:10:59.816000+00:00,0.0398177,1343043.00032,2017-10-19 00:00:00+00:00,2024-08-28 20:19:01.489000+00:00,0.0,N/A,0.0,78058305473.0,145887575.79,145887575.79
solana,SOL,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,144.69,67414317408,5,84340785911,4378404004,154.83,140.96,-10.143034253832042,-6.55112,-4736064710.705589,-6.56416,466153849.225248,583196322.547613,,259.96,-44.55379,2021-11-06 21:54:35.825000+00:00,0.500801,28681.39176,2020-05-11 19:35:23.449000+00:00,2024-08-28 20:19:08.076000+00:00,0.0,N/A,0.0,67414317408.0,466153849.23,583196322.55
usd-coin,USDC,Usdc,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,34453071713,6,34510769797,10354508976,1.003,0.983985,0.00059472,0.05945,139006762.0,0.4051,34424169190.1709,34481818871.399,,1.17,-14.98898,2019-05-08 00:40:28.300000+00:00,0.877647,13.59122,2023-03-11 08:02:13.981000+00:00,2024-08-28 20:18:59.281000+00:00,0.0,N/A,0.0,34453071713.0,34424169190.17,34481818871.4
ripple,XRP,Xrp,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.58,32316335985,7,57515454391,1885471298,0.592884,0.5568,-0.017463537630127424,-2.94672,-976068433.9364586,-2.93181,56180094752.0,99987315360.0,100000000000.0,3.4,-83.14331,2018-01-07 00:00:00+00:00,0.00268621,21226.21152,2014-05-22 00:00:00+00:00,2024-08-28 20:18:57.555000+00:00,0.0,N/A,0.0,32316335985.0,56180094752.0,99987315360.0
staked-ether,STETH,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2521.84,24679144416,8,24679144416,72059860,2584.76,2421.48,-55.28915003314114,-2.14537,-559092154.640171,-2.21526,9799201.26080947,9799201.26080947,,4829.57,-48.15444,2021-11-10 14:40:47.256000+00:00,482.9,418.52097,2020-12-22 04:08:21.854000+00:00,2024-08-28 20:19:07.257000+00:00,0.0,N/A,0.0,24679144416.0,9799201.26,9799201.26
dogecoin,DOGE,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.1,14507267886,9,14510960229,821164090,0.104136,0.096901,-0.004198509176763899,-4.0353,-650756197.2243576,-4.29315,145687856383.705,145724936383.705,,0.731578,-86.43102,2021-05-08 05:08:23.458000+00:00,8.69e-05,114127.14941,2015-05-06 00:00:00+00:00,2024-08-28 20:19:04.310000+00:00,0.0,N/A,0.0,14507267886.0,145687856383.7,145724936383.7
the-open-network,TON,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/img-ton.jpg?1724681212,5.46,13827325055,10,27881479760,2146008240,5.75,5.18,-0.054584498253939635,-0.98996,-136986075.2191639,-0.98097,2534750693.29844,5111082575.43466,,8.25,-34.30118,2024-06-15 00:36:51.509000+00:00,0.519364,944.07007,2021-09-21 00:33:11.092000+00:00,2024-08-28 20:19:07.736000+00:00,0.0,N/A,0.0,13827325055.0,2534750693.3,5111082575.43
tron,TRX,Tron,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.16,13693352041,11,13693396176,814899907,0.162082,0.155642,-0.004141528425473274,-2.55682,-366013697.87706184,-2.60334,86805107615.3147,86805387401.949,,0.231673,-32.0241,2018-01-05 00:00:00+00:00,0.00180434,8627.92824,2017-11-12 00:00:00+00:00,2024-08-28 20:19:08.821000+00:00,82.07267529675585,usd,8207.267529675584,13693352041.0,86805107615.31,86805387401.95
cardano,ADA,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.35,12553853098,12,15851606666,476239245,0.366693,0.34227,-0.010988705551778223,-3.0167,-422921877.9451809,-3.25907,35638241682.3088,45000000000.0,45000000000.0,3.09,-88.58462,2021-09-02 06:00:10.474000+00:00,0.01925275,1730.29846,2020-03-13 02:22:55.044000+00:00,2024-08-28 20:19:02.003000+00:00,0.0,N/A,0.0,12553853098.0,35638241682.31,45000000000.0
