id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,market_cap,circulating_supply,total_supply
bitcoin,BTC,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,59174.0,1170187808992,1,1244477422049,49832730698,62077.0,57968.0,-2903.3562243633132,-4.67702,-55051013540.04297,-4.49308,19746396.0,21000000.0,21000000.0,73738.0,-19.70852,2024-03-14 07:10:36.635000+00:00,67.81,87211.83372,2013-07-06 00:00:00+00:00,2024-08-28 19:49:00.654000+00:00,0.0,N/A,0.0,1170187808992.0,19746396.0,21000000.0
ethereum,ETH,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2512.63,302583271306,2,302583271306,23977782090,2586.81,2409.42,-74.18674804430248,-2.86788,-8758919804.811401,-2.81328,120298712.596962,120298712.596962,,4878.26,-48.48207,2021-11-10 14:24:19.604000+00:00,0.432979,580339.17171,2015-10-20 00:00:00+00:00,2024-08-28 19:49:01.104000+00:00,55.7442475368008,btc,5574.42475368008,302583271306.0,120298712.6,120298712.6
tether,USDT,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,118063654195,3,118063654195,73961268111,1.004,0.981431,-0.000248261471409994,-0.02483,43546652.0,0.0369,118039332678.207,118039332678.207,,1.32,-24.45632,2018-07-24 00:00:00+00:00,0.572521,74.58134,2015-03-02 00:00:00+00:00,2024-08-28 19:48:57.948000+00:00,0.0,N/A,0.0,118063654195.0,118039332678.21,118039332678.21
binancecoin,BNB,Bnb,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,535.17,78240168007,4,78240168007,1252756182,550.91,521.34,-14.45207832977087,-2.62946,-1922095616.4553375,-2.39776,145887575.79,145887575.79,200000000.0,717.48,-25.35503,2024-06-06 14:10:59.816000+00:00,0.0398177,1344928.13024,2017-10-19 00:00:00+00:00,2024-08-28 19:49:02.085000+00:00,0.0,N/A,0.0,78240168007.0,145887575.79,145887575.79
solana,SOL,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,144.97,67709951330,5,84710632979,4316310728,154.87,140.96,-9.82566569696607,-6.34754,-4429571265.378532,-6.14028,466153931.646037,583196322.547613,,259.96,-44.11871,2021-11-06 21:54:35.825000+00:00,0.500801,28907.23304,2020-05-11 19:35:23.449000+00:00,2024-08-28 19:48:56.959000+00:00,0.0,N/A,0.0,67709951330.0,466153931.65,583196322.55
usd-coin,USDC,Usdc,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,34433990617,6,34491656746,10980837210,1.003,0.983985,-9.9284678288902e-05,-0.00993,132080058.0,0.38505,34424169190.1709,34481818871.399,,1.17,-14.7469,2019-05-08 00:40:28.300000+00:00,0.877647,13.91468,2023-03-11 08:02:13.981000+00:00,2024-08-28 19:48:58.852000+00:00,0.0,N/A,0.0,34433990617.0,34424169190.17,34481818871.4
ripple,XRP,Xrp,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.57,32229317427,7,57360581887,1899082494,0.592884,0.5568,-0.01927859773975471,-3.25201,-1100870931.4720612,-3.30292,56180094752.0,99987315360.0,100000000000.0,3.4,-83.10109,2018-01-07 00:00:00+00:00,0.00268621,21279.63119,2014-05-22 00:00:00+00:00,2024-08-28 19:48:58.687000+00:00,0.0,N/A,0.0,32229317427.0,56180094752.0,99987315360.0
staked-ether,STETH,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2512.79,24639956934,8,24639956934,71226142,2586.83,2421.48,-74.03831823727842,-2.86213,-712713153.0828552,-2.8112,9799201.26080947,9799201.26080947,,4829.57,-47.95794,2021-11-10 14:40:47.256000+00:00,482.9,420.4862,2020-12-22 04:08:21.854000+00:00,2024-08-28 19:48:56.616000+00:00,0.0,N/A,0.0,24639956934.0,9799201.26,9799201.26
dogecoin,DOGE,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.1,14499980527,9,14503671015,817569665,0.104357,0.096901,-0.004968624125932021,-4.76119,-709803843.7965584,-4.66676,145687856383.705,145724936383.705,,0.731578,-86.4068,2021-05-08 05:08:23.458000+00:00,8.69e-05,114331.0279,2015-05-06 00:00:00+00:00,2024-08-28 19:48:53.569000+00:00,0.0,N/A,0.0,14499980527.0,145687856383.7,145724936383.7
the-open-network,TON,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/img-ton.jpg?1724681212,5.41,14116281249,10,28464132315,1964513880,5.75,5.18,-0.15437842085713172,-2.77431,14113129.0,0.10008,2534750693.29844,5111082575.43466,,8.25,-32.3564,2024-06-15 00:36:51.509000+00:00,0.519364,974.97608,2021-09-21 00:33:11.092000+00:00,2024-08-28 19:48:57.224000+00:00,0.0,N/A,0.0,14116281249.0,2534750693.3,5111082575.43
tron,TRX,Tron,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.16,13702739259,11,13702758890,812985743,0.162162,0.155642,-0.004404738077435217,-2.71757,-363038829.4800072,-2.58101,86805263044.0291,86805387401.949,,0.231673,-31.91036,2018-01-05 00:00:00+00:00,0.00180434,8642.53265,2017-11-12 00:00:00+00:00,2024-08-28 19:48:58.906000+00:00,81.98905365542737,usd,8198.905365542736,13702739259.0,86805263044.03,86805387401.95
cardano,ADA,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.35,12599276635,12,15908962446,471308281,0.366693,0.34227,-0.012503041977747764,-3.42205,-428853501.5974827,-3.29175,35638241682.3088,45000000000.0,45000000000.0,3.09,-88.56723,2021-09-02 06:00:10.474000+00:00,0.01925275,1733.08589,2020-03-13 02:22:55.044000+00:00,2024-08-28 19:49:02.469000+00:00,0.0,N/A,0.0,12599276635.0,35638241682.31,45000000000.0
wrapped-steth,WSTETH,Wrapped Steth,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2958.91,10368820049,13,10368820049,135433748,3044.13,2851.82,-85.21926931030293,-2.79946,-267921989.61204147,-2.51884,3500008.42678366,3500008.42678366,,7256.02,-59.16737,2022-05-13 15:09:54.509000+00:00,558.54,430.45856,2022-05-13 01:36:45.053000+00:00,2024-08-28 19:48:58.320000+00:00,0.0,N/A,0.0,10368820049.0,3500008.43,3500008.43
