id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi_times,roi_currency,roi_percentage
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,59052.0,1166273679925,1,1240234911708,28521906006,59404.0,58754.0,277.69,0.47247,7241384819.0,0.62478,19747668.0,21000000.0,21000000.0,73738.0,-19.95078,2024-03-14T07:10:36.635Z,67.81,86948.39508,2013-07-06T00:00:00.000Z,,2024-08-31T18:15:40.195Z,,,
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2504.9,301516201397,2,301516201397,8084706310,2540.32,2476.46,28.44,1.14846,4355919240.0,1.46585,120303365.022099,120303365.022099,,4878.26,-48.65368,2021-11-10T14:24:19.604Z,0.432979,578405.67243,2015-10-20T00:00:00.000Z,,2024-08-31T18:15:39.510Z,55.710836725508386,btc,5571.083672550838
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999614,118174439217,3,118174439217,22438935479,1.003,0.998474,-0.001217810942633624,-0.12168,-38105661.08528137,-0.03223,118228802316.488,118228802316.488,,1.32,-24.32446,2018-07-24T00:00:00.000Z,0.572521,74.88608,2015-03-02T00:00:00.000Z,,2024-08-31T18:15:32.681Z,,,
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,534.61,77997906572,4,77997906572,426394347,541.16,531.18,3.43,0.64481,502314442.0,0.64818,145887575.79,145887575.79,200000000.0,717.48,-25.54584,2024-06-06T14:10:59.816Z,0.0398177,1341490.07439,2017-10-19T00:00:00.000Z,,2024-08-31T18:15:36.592Z,,,
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,136.09,63479182856,5,79409159492,1592521604,138.86,134.94,1.15,0.85237,621162844.0,0.9882,466456641.805162,583513022.673528,,259.96,-47.74099,2021-11-06T21:54:35.825Z,0.500801,27026.9601,2020-05-11T19:35:23.449Z,,2024-08-31T18:15:32.893Z,,,
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999903,34716485967,6,34717298948,2866207463,1.004,0.998657,-0.000526143340854435,-0.05259,39245521.0,0.11317,34724865877.9967,34725679055.9211,,1.17,-14.65689,2019-05-08T00:40:28.300Z,0.877647,14.03495,2023-03-11T08:02:13.981Z,,2024-08-31T18:15:35.565Z,,,
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.565579,31815388690,7,56551935105,516052684,0.571652,0.557733,0.00784607,1.40678,467788982.0,1.49226,56251561168.0,99987294444.0,100000000000.0,3.4,-83.36278,2018-01-07T00:00:00.000Z,0.00268621,20948.55779,2014-05-22T00:00:00.000Z,,2024-08-31T18:15:31.936Z,,,
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2503.4,24536208556,8,24536208556,21546250,2537.13,2478.76,24.64,0.99402,393931683.0,1.63171,9800008.0414852,9800008.0414852,,4829.57,-48.17487,2021-11-10T14:40:47.256Z,482.9,418.31656,2020-12-22T04:08:21.854Z,,2024-08-31T18:15:32.439Z,,,
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.101764,14827877846,9,14828635735,438639743,0.102217,0.099435,0.00232825,2.34148,354758966.0,2.45116,145757076383.705,145764526383.705,,0.731578,-86.15483,2021-05-08T05:08:23.458Z,8.69e-05,116452.22079,2015-05-06T00:00:00.000Z,,2024-08-31T18:15:28.157Z,,,
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/img-ton.jpg?1724681212,5.4,13703666601,10,27631423893,279652266,5.41,5.28,0.091699,1.72729,289847765.0,2.16081,2534887274.58804,5111226567.65782,,8.25,-34.51081,2024-06-15T00:36:51.509Z,0.519364,940.73873,2021-09-21T00:33:11.092Z,,2024-08-31T18:15:32.825Z,,,
